■頭部パーツ
○名称	チップ容量	重量	装甲	射撃補正	索敵	ロックオン	DEF回復	条件	素材・勲章	GP
ガルム67	1.6	730	D-	B-	C	B-	C+	?	チタン鋼x15 銀片x15 ハニカム回路x15	150
ガルム68	1.3	710	E+	E+	B+	C-	C+	ガルム67／腕パーツを所持	隕鉄塊x20 真鋼テクタイトx1 黄金片x20	200
ガルム67U	0.9	750	D	D+	A	D+	D-	ガルム68／腕パーツを所持	コアアタッカーx20 チタン鋼x30 ソノチップx5 ルミノチップx2	300
ガルム70	0.7	770	D	C-	A+	D-	D	ガルム67U／腕パーツを所持	コアアタッカーx30 超剛性メタルx2 カロラチップx2 誘電ヘリックスx3	400

■脚部パーツ
○名称	チップ容量	重量	装甲	歩行	ダッシュ	加速	重量耐性	条件	素材・勲章	GP
クーガーI型	3.1	920	C+	D+	C-	C	D	初期装備	なし	0
クーガーII型	3.0	920	C	B-	C	B+	D	クーガーI型／脚パーツを所持	チタン鋼x1 ニュード胚x10 銅片x10	10
クーガーS型	2.0	1000	C+	D+	B	C	C	累計バトル時間80000秒以上。または17250pt以上、クーガーII型／脚パーツを所持	戦闘勝利章x10 ウーツ重鋼x7 ニュード群体x10 ソノチップx5	150
クーガーNX	1.4	1120	B-	E+	B+	C	C	クーガーS型／脚パーツを所持	複層重合金属x1 ニュード胚x20 カロラチップx1	350
ツェーブラ38	3.3	850	C	B-	C-	A	C-	クラスD4で支給	なし	0
ツェーブラ39	3.3	800	C	A	C-	A-	D+	ツェーブラ38／脚パーツを所持	隕鉄塊x10 ニュード集積体x1 黄金片x15	50
ツェーブラ41	3.2	930	C	C-	C+	A-	C-	ツェーブラ39／脚パーツを所持	ウーツ重鋼x3 ニュード卵x30 ソノチップx5	150
ツェーブラ48C	2.7	980	C+	A-	B-	A-	C-	ツェーブラ41／脚パーツを所持	ウーツ重鋼x5 ニュード融素子x1 カロラチップx1	250
エンフォーサーI型	3.3	850	C	C+	C	B-	D+	クラスB5で支給	なし	0
エンフォーサーII型	3.1	950	C	D+	C	B-	C+	エンフォーサーI型／脚パーツを所持	超剛性メタルx2 ニュード素子x10 銅片x10	50
エンフォーサーIII型	1.7	1050	C	E+	B	D+	C+	エンフォーサーII型／脚パーツを所持	鉛板x10 ニュード集積体x3 銀片x15	150
エンフォーサーX型	1.8	1100	C+	E	B-	E+	B-	エンフォーサーIII型／脚パーツを所持	ニュード卵x15 カロラチップx2 破損ＩＣx10	250
E.D.G.－α	2.7	880	D	C	B	B-	D+	累計バトル時間66000秒以上。または9000pt以上	隕鉄塊x10 ニュード卵x30 ソノチップx3	50
E.D.G.－β	2.7	920	D	B-	B	B-	D+	E.D.G.‐α／脚パーツを所持	ウーツ重鋼x1 ニュード集積体x1 黄金片x25	100
E.D.G.－δ	1.6	970	D-	D+	A-	B	D+	E.D.G.‐β／脚パーツを所持	チタン鋼x15 ニュード集積体x2 メタモチップx2	200
E.D.G.－θ	1.7	930	D+	B	B+	C+	C-	E.D.G.‐δ／脚パーツを所持	奇襲章x3 ニュード群体x5 カロラチップx1 高磁性アグミナx3	300
ディスカス・プロト	2.8	1060	B	B+	C-	B	B-	累計バトル時間36000秒以上。または7875pt以上	チタン鋼x10 ニュード集積体x1 銅片x15	50
ディスカス・ダート	2.8	1000	C+	A+	B-	B+	D+	ディスカス・プロト／脚パーツを所持	ウーツ重鋼x5 ニュード素子x5 ソノチップx5	100
ディスカス・ノヴァ	2.6	1140	B+	D	C+	C	B-	ディスカス・ダート／脚パーツを所持	鉛板x15 ニュード融素子x1 銀片x15	200
ディスカス・エヴォル	2.5	1080	B	C+	B-	B-	C+	ディスカス・ノヴァ／脚パーツを所持	ベースガード/金x3 複層重合金属x2 ニュード集積体x1 黄金片x5	300
ネレイド45	3.0	900	C	B	C+	A-	C-	クラスB5で支給	なし	0
ネレイド45改	2.9	880	C	C+	C+	A	C	ネレイド45／脚パーツを所持	ウーツ重鋼x5 ニュード胚x10 黄金片x10	50
ネレイド46	2.8	940	C	C+	B	B+	C-	ネレイド45改／脚パーツを所持	鉛板x10 ニュード集積体x2 カロラチップx1	150
ネレイドRT	2.3	980	C+	D+	B	A	C	ネレイド46／脚パーツを所持	オールマイティーx5 ニュード集積体x5 銅片x15 ロゼンジ重回路x5	250
迅牙	3.0	950	C-	A	C+	B-	C-	累計バトル時間48000秒以上。または11250pt以上	ウーツ重鋼x2 ニュード胚x10 ソノチップx5	100
迅牙・甲	2.4	1020	D+	C-	B+	B	C-	迅牙／脚パーツを所持	超剛性メタルx1 ニュード融素子x1 銀片x15	150
迅牙・真	2.5	1050	C+	D-	C+	B-	B-	迅牙・甲／脚パーツを所持	複層重合金属x2 ニュード胚x5 銅片x5	250
迅牙・飛天	2.0	1070	C+	D	C+	D+	B	迅牙・真／脚パーツを所持	連続勝利章x3 超剛性メタルx5 ニュード集積体x2 ソノチップx3	350
雷花	2.5	910	C	C+	B	C+	D+	累計バトル時間74000秒以上。または累計スコア18375pt以上。	ウーツ重鋼x5 ニュード集積体x1 銅片x20	150
雷花・燕	1.2	940	D+	D	A-	C+	D+	雷花／脚パーツを所持	?ニュード胚x15 メタモチップx3 ロゼンジ重回路x2	200
雷花・麗	2.1	930	C+	B	B-	C	C	雷花・燕／脚パーツを所持	COMBO/銅x20 ニュード卵x35 カロラチップx1 高磁性アグミナx1	300
雷花・燐	0.8	1070	D+	E+	A-	D-	C-	雷花・麗／脚パーツを所持	COMBO/銀x20 ニュード融素子x1 メタモチップx2 モノリスＮＳＩx1	400
グライフ65	2.8	920	C	D+	B-	A	C-	?	ニュード卵x20 銅片x15 ロゼンジ重回路x5	150
グライフ66	2.3	950	C-	D	B-	D+	C+	グライフ65／脚パーツを所持	ニュード卵x10 銀片x25 ペンタクル回路x15	200
グライフ65V	1.5	990	C-	D+	B	A-	C	グライフ66／脚パーツを所持	オールマイティーx5 ニュード集積体x2 ソノチップx5 カロラチップx1	300
グライフ68G	1.6	1010	C-	D	B+	A	C-	グライフ65V／脚パーツを所持	グランドスラムx2 ニュード素子x10 ニュード融素子x2 誘電ヘリックスx2	400
ザオレン	2.8	1020	C	C+	C+	C+	C+	?	超剛性メタルx1 ニュード卵x30 黄金片x10	150
ザオレン・ガイ	2.0	1080	C	B+	B	C	C	ザオレン／脚パーツを所持	複層重合金属x1 ニュード群体x5 銅片x10	200
ザオレン・リアン	2.5	1100	C+	C+	C	B	B	ザオレン・ガイ／脚パーツを所持	ターレットスキル/銀x1 ニュード集積体x3 カロラチップx1 ハニカム回路x10	300
ザオレン・ダジアン	1.8	1170	C	D+	B+	C	C+	ザオレン・ダジアン／脚パーツを所持	ターレットスキル/金x1 ニュード卵x20 カロラチップx2 誘電ヘリックスx2	400
X－Ie	1.7	890	C+	C-	B	B	C-	?	ニュード胚x20 銅片x30 ペンタクル回路x1	150
X－IIs	1.5	1000	C+	E+	B	E+	C+	X－Ie／脚パーツを所持	ニュード群体x10 ニュード結晶体x1 ソノチップx3	200
X－IIIcg	1.4	1100	B-	C+	B+	E+	C	X－IIs／脚パーツを所持	戦闘勝利章x5 ニュード胚x30 ルミノチップx2 モノリスＮＳＩx1	300
ヘヴィガードI型	3.1	1300	A	E+	E+	B-	A+	クラスD4で支給。	なし	0
ヘヴィガードIII型	3.2	1330	A+	E	E	A-	S-	ヘヴィガードI型／脚パーツを所持	隕鉄塊x10 ニュード素子x5 銀片x5	50
ヘヴィガードIV型	2.6	1320	A	E	D	C+	A+	ヘヴィガードIII型／脚パーツを所持	超剛性メタルx2 ニュード卵x10 銅片x5	150
ヘヴィガードG型	2.7	1360	A	E+	D-	D+	S-	ヘヴィガードIV型／脚パーツを所持	複層重合金属x1 ニュード卵x25 カロラチップx1	250
ケーファー42	2.7	1220	B+	D+	D	B-	A	累計バトル時間18000秒以上。または5625pt以上。	チタン鋼x3 ニュード群体x3 銀片x15	50
ケーファー44	2.8	1210	B	B-	D	B+	A-	ケーファー42／脚パーツを所持	鉛板x15 ニュード素子x10 ソノチップx3	100
ケーファー45	2.4	1320	B+	E+	C-	C	A	ケーファー44／脚パーツを所持	チタン鋼x10 ニュード群体x3 メタモチップx2	200
ケーファー52	1.9	1350	A-	E	C-	D+	A+	ケーファー45／脚パーツを所持	占拠章x15 ニュード群体x3 カロラチップx2 破損ＩＣx10	300
ロージーR	2.8	1370	A+	D+	E+	C	A+	累計バトル時間42000秒以上。または6750pt以上。	超剛性メタルx1 ニュード胚x10 銀片x15	50
ロージーR＋	2.3	1310	S-	D	E	B	S-	ロージーR／脚パーツを所持	ウーツ重鋼x5 ニュード素子x5 カロラチップx1	100
ロージーLM	2.7	1350	A+	D	D	C	A+	ロージーR+／脚パーツを所持	複層重合金属x2 ニュード素子x5 銀片x5	200
ロージーEVE	2.3	1420	S	D-	E+	D+	S-	ロージーLM／脚パーツを所持	プラントガード/銀x15 超剛性メタルx5 ニュード胚x15 黄金片 x10	300
ランドバルクI型	2.2	1210	B	C-	D	D+	A+	累計バトル時間60000秒以上。または累計スコア13125pt以上。	超剛性メタルx2 ニュード素子x15 黄金片x5	100
ランドバルクII型	2.1	1240	B	D	D	D+	S-	ランドバルクI型／脚パーツを所持	超剛性メタルx2 ニュード融素子x1 黄金片x5	150
ランドバルクIV型	1.4	1270	B	E	C	D	A	ランドバルクII型／脚パーツを所持	複層重合金属x2 ニュード卵x10 銀片x5	250
ランドバルクAT	2.0	1300	A	D	C-	C+	A	ランドバルクIV型を所持	最優秀戦闘章x3 ニュード集積体x3 カロラチップx1 ハニカム回路x20	350
ヤーデ54	2.7	1130	A-	B+	D-	B	B+	累計バトル時間116000秒以上もしくは累計スコア16125pt以上(3.5AB準拠)で開放	隕鉄塊x15 ニュード群体x5 メタモチップx1	100
ヤーデ54S	2.2	1180	A	D+	D-	B-	A	ヤーデ54／脚パーツを所持	ニュード融素子x1 銅片x20 ペンタクル回路x5	200
ヤーデ55	2.2	1170	A+	C+	D+	C+	B+	ヤーデ54S／脚パーツを所持	破壊工作/銀x10 ニュード集積体x3 ソノチップx2 モノリスＮＳＩx1	300
ヤーデVMT	1.4	1300	A+	C-	C	E	B+	ヤーデ55／脚パーツを所持	破壊工作/金x1 ニュード胚x20 カロラチップx1 高磁性アグミナx3	400
ジーシェン	2.9	1230	A-	C	D-	A-	A	累計バトル時間122000秒以上または累計スコア22875pt以上	超剛性メタルx3 ニュード群体x3 銀片x5	150
ジーシェン・フー	2.0	1200	B+	C+	C-	B-	A-	ジーシェンを所持	鉛板x20 ニュード融素子x1 メタモチップx1	200
ジーシェン・シー	2.5	1250	A-	D	D	C+	A+	ジーシェン・フーを所持	施設破壊章x5 鉛板x10 ニュード融素子x2 銀片x3	300
ジーシェン・パイロン	2.3	1370	A	D+	D+	A-	A	ジーシェン・シーを所持	防衛章x10 ニュード群体x3 カロラチップx2 ロゼンジ重回路x3	400
スペクターI型	2.8	1090	B	C	C-	B-	B+	累計バトル時間128000秒以上。または累計スコア21750pt以上。	ウーツ重鋼x5 ニュード胚x20 メタモチップx1	150
スペクターI型C	2.5	1130	B+	B-	D+	B	A-	スペクターI型／脚パーツを所持	超剛性メタルx1 ニュード卵x20 カロラチップx1	200
スペクターIII型	2.5	1170	A-	C-	D	A-	A	スペクターI型C／脚パーツを所持	バトルアシスト/銀x10 隕鉄塊x5 ニュード融素子x2 黄金片x5	300
スペクターMRG	2.3	1220	B	B	C	C+	B+	スペクターIII型／脚パーツを所持	バトルアシスト/金x10 ニュード集積体x3 ニュード結晶体x2 ペンタクル回路x25	400
アイアンフォートI型	1.9	1240	B+	D-	C-	A-	A-	?	ニュード素子x10 銅片x10 破損ＩＣx30	150
アイアンフォートII型	2.1	1270	A-	D-	D+	C-	A	アイアンフォートI型／脚パーツを所持	最優秀戦闘章x1 黄金片x20 ハニカム回路x15 誘電ヘリックスx1	200
アイアンフォートIV型	2.0	1410	A+	E+	D	A	A+	アイアンフォートII型／脚パーツを所持	最優秀戦闘章x2 ニュード集積体x3 高磁性アグミナx3 誘電ヘリックスx2	300
シュライクI型	2.8	750	D-	A-	B+	A-	E	クラスD4で支給。	なし	0
シュライクII型	2.9	700	E	S-	B+	A-	E	シュライクI型／脚パーツを所持	チタン鋼x5 ニュード群体x2 銀片x20	50
シュライクV型	1.6	770	D-	B-	A+	B	E	シュライクII型／脚パーツを所持	鉛板x20 ニュード集積体x1 メタモチップx2	150
シュライクW型	2.0	720	E	S	A	B+	E	シュライクV型／脚パーツを所持	チタン鋼x10 ニュード融素子x2 黄金片x3	250
ヤクシャ	1.1	880	D	C-	A-	B	D	累計バトル時間92000秒以上。または15000pt以上	ウーツ重鋼x3 ニュード群体x5 銅片x30	150
ヤクシャ・改	1.2	850	D-	B+	A-	C+	D	ヤクシャ／脚パーツを所持	超剛性メタルx2 ニュード素子x20 メタモチップx2	250
ヤクシャ・弐	1.0	940	D	D	A	E+	D	ヤクシャ・改／脚パーツを所持	英雄章x2 チタン鋼x15 ニュード融素子x2 ソノチップx2	350
ヤクシャ・零	0.5	950	D-	D-	A+	E-	D-	ヤクシャ・弐／脚パーツを所持	連続勝利章x5 ニュード群体x3 カロラチップx2 誘電ヘリックスx2	400
セイバーI型	2.9	770	D	A+	B	A-	D-	累計バトル時間54000pt以上。または10125pt以上	チタン鋼x10 ニュード卵x15 メタモチップx1	50
セイバーI型R	2.7	800	D+	B	B	B+	D	セイバーI型／脚パーツを所持	チタン鋼x5 ニュード卵x15 ソノチップx5	100
セイバーII型	1.7	900	D	C+	A-	B+	D	セイバーI型R／脚パーツを所持	隕鉄塊x5 ニュード融素子x1 メタモチップx2	200
セイバーZX	0.9	960	D+	C	A	D-	D	セイバーII型／脚パーツを所持	コアストライカーx10 ニュード素子x5 黄金片x10 モノリスＮＳＩx2	300
B.U.Z.－α	2.5	670	E	S-	B+	B-	E	累計バトル時間98000秒以上。または累計スコア13875pt以上で開放	ウーツ重鋼x5 ニュード集積体x1 黄金片x10	100
B.U.Z.－β	2.4	720	E	B+	B+	B+	D-	B.U.Z.-α／脚パーツを所持	複層重合金属x1 ニュード胚x10 メタモチップx2	150
B.U.Z.－γ	2.3	700	E	A-	A-	B	E	B.U.Z.-β／脚パーツを所持	マルチスコアラー/銀x20 チタン鋼x5 ニュード融素子x2 黄金片x3	250
B.U.Z.－λ	1.8	740	E+	S	A-	C+	E	B.U.Z.-β／脚パーツを所持	マルチスコアラー/金x5 ニュード素子x3 カロラチップx2 高磁性アグミナx2	350
フォーミュラII型	1.8	820	D-	B-	A-	B-	D-	累計バトル時間104000秒以上。または累計スコア20625pt以上。	ウーツ重鋼x5 ニュード卵x15 黄金片x10	100
フォーミュラII型C	2.0	850	D-	C-	A-	C-	D	フォーミュラII型／脚パーツを所持	複層重合金属x1 ニュード素子x10 メタモチップx1	200
フォーミュラF型	1.7	900	D-	C+	A+	D	D-	フォーミュラII型／脚パーツを所持	白銀武勲x30 超剛性メタルx3 ニュード融素子x1 銅片x10	300
フォーミュラMST	1.4	1050	D-	D-	S-	D-	D-	フォーミュラF型／脚パーツを所持	黄金武勲x3 カロラチップx1 ロゼンジ重回路x10 誘電ヘリックスx2	400
アスラ	1.3	750	E	A-	A+	B-	E	累計バトル時間110000秒以上もしくは累計スコア19500pt以上(3.5AB準拠)で開放	超剛性メタルx2 ニュード群体x3 銅片x20	150
アスラ・弐	1.1	780	E	C+	A+	C-	E+	アスラ／脚パーツを所持	ニュード群体x2 メタモチップx3 破損ＩＣx20	250
アスラ・参	0.7	860	E	C+	S-	D	E	アスラ・弐／脚パーツを所持	プラントゲイナーx10 ニュード融素子x1 銀片x10 高磁性アグミナx3	350
月影	1.6	770	D-	C-	A	C-	D-	累計バトル時間140000秒以上もしくは累計スコア24000pt以上	超剛性メタルx1 ニュード素子x10 銅片x25	150
月影・新	0.9	740	E+	D	A+	C-	E+	月影／脚パーツを所持	ニュード群体x5 カロラチップx1 破損ＩＣx10	200
月影・暁	1.8	800	D+	D+	A-	C-	D	月影・新／脚パーツを所持	連続勝利章x3 ニュード集積体x3 ソノチップx2 モノリスＮＳＩx1	300
月影・烈風	0.5	890	E+	E	S-	E+	E+	月影・暁／脚パーツを所持	完全勝利章x3 ニュード融素子x3 カロラチップx1 高磁性アグミナx2	400
ガルム67	1.4	930	D-	C	A-	A-	D	?	ニュード素子x10 銅片x20 破損ＩＣx20	150
ガルム68	1.5	820	E+	A-	A	D+	D-	ガルム67／脚パーツを所持	ニュード胚x20 ニュード結晶体x1 ペンタクル回路x20	200
ガルム67U	0.9	760	E+	E+	A	A	D-	ガルム68／脚パーツを所持	コアアタッカーx20 ニュード結晶体x2 黄金片x20 高磁性アグミナx3	300
ガルム70	0.8	820	D-	D-	A+	A-	E+	ガルム67U／脚パーツを所持	コアアタッカーx30 ニュード結晶体x3 メタモチップx5 モノリスＮＳＩx1	400

■強襲兵装
◆主武器
●サブマシンガン系統
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
M90サブマシンガン	140	実弾	290	65x20	850	C+	1.4	初期装備	なし	0
M90Cサブマシンガン	130	実弾	280	74x18	850	B-	1.5	M90サブマシンガンを所持	鉛板x10	10
M91サブマシンガン	150	実弾	260	120x12	900	C+	2.0	M90Cサブマシンガンを所持	隕鉄塊x15 銅片x10	50
M99サーペント	170	実弾	300	80x16	860	B	1.6	M91サブマシンガンを所持	強襲章x5 チタン鋼x10 銀片x10 メタモチップx2	150
M92ヴァイパー	190	実弾	320	65x16	900	D+	1.8	M99サーペントを所持	強襲章x20 ウーツ重鋼x5 複層重合金属x1 ソノチップx5	250
サーペント/CV	170	実弾	300	80x16	860	B	1.6	BB.NET専用アイテム	BB.NET WEBゲームorSメダルx500,000	なし

●ヴォルペ突撃銃系統
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
ヴォルペ突撃銃	220	実弾(3点射)	400	60x10	810	C	2.0	クラスD3到達	なし	0
ヴォルペ突撃銃C	210	実弾(3点射)	370	63x9	820	B+	1.9	ヴォルペ突撃銃を所持	ウーツ重鋼x5 ニュード素子x8	50
ヴォルペ突撃銃FAM	230	実弾	360	45x12	810	C+	2.4	ヴォルペ突撃銃Cを所持	鉛板x20 ウーツ重鋼x3 ニュード集積体x2	150
ヴォルペ・スコーピオ	240	実弾(3点射)	410	51x10	810	B+	2.0	ヴォルペ突撃銃FAMを所持	強襲章x10 チタン鋼x10 超剛性メタルx3 ニュード群体x5	250
ヴォルペ・メガロ	250	実弾(3点射)	450	48x10	810	C	2.0	ヴォルペ・スコーピオとM91サブマシンガンを所持	強襲章x25 鉛板x10 複層重合金属x2 ニュード卵x30	350

●スイッチアサルト系統(タイプA)
○名称	重量	属性	方式	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
スイッチアサルト	300	実弾	3点射	470	42x10	720	C+	2.2	M99サーペント、ヴォルペ突撃銃Cを所持	隕鉄塊x10 チタン鋼x3 超剛性メタルx3	50
スイッチアサルトC	280	実弾	3点射	450	45x10	720	A-	1.8	スイッチアサルトを所持	ウーツ重鋼x10 ペンタクル回路x10 ロゼンジ重回路x3	150
スイッチアサルトR	340	実弾	3点射	430	63x9	720	C+	2.4	スイッチアサルトCを所持	鉛板x30 チタン鋼x30 モノリスＮＳＩx1	250
スイッチアサルトII	350	実弾	3点射	480	39x12	720	B-	2.2	スイッチアサルトRを所持	連続勝利章x3 隕鉄塊x30 複層重合金属x2 高磁性アグミナx5	350
スイッチアサルトIIIS	330	実弾	3点射	520	33x13	720	C+	1.9	スイッチアサルトIIを所持	連続勝利章x5 チタン鋼x30 超剛性メタルx5 モノリスＮＳＩx2	500

●スイッチアサルト系統(タイプB)
○名称	重量	属性	方式	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
スイッチアサルト	300	実弾	連射	430	42x10	720	C-	2.2	M99サーペント、ヴォルペ突撃銃Cを所持	隕鉄塊x10 チタン鋼x3 超剛性メタルx3	50
スイッチアサルトC	280	実弾	連射	410	45x10	720	B	1.8	スイッチアサルトを所持	ウーツ重鋼x10 ペンタクル回路x10 ロゼンジ重回路x3	150
スイッチアサルトR	340	実弾	連射	390	63x9	720	C-	2.4	スイッチアサルトCを所持	鉛板x30 チタン鋼x30 モノリスＮＳＩx1	250
スイッチアサルトII	350	実弾	連射	440	39x12	720	C	2.2	スイッチアサルトRを所持	連続勝利章x3 隕鉄塊x30 複層重合金属x2 高磁性アグミナx5	350
スイッチアサルトIIIS	330	実弾	連射	470	33x13	720	C-	1.9	スイッチアサルトIIを所持	連続勝利章x5 チタン鋼x30 超剛性メタルx5 モノリスＮＳＩx2	500

●S90アイビス系統(タイプA)
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
S90アイビス	260	実弾(3点射)	580	30x11	600	B	2.2	ヴォルペ・スコーピオを所持	鉛板x10 ウーツ重鋼x5 ハニカム回路x20	150
S90アイビスC	290	実弾(3点射)	540	42x8	600	A	2.4	S90アイビスを所持	隕鉄塊x20 破損ＩＣx15 ロゼンジ重回路x10	250
S95シーガル	320	実弾	650	28x11	480	B-	2.0	S90アイビスCを所持	精密射撃章x5 チタン鋼x15 複層重合金属x1 高磁性アグミナx5	350
S100アルバトロス	340	実弾(3点射)	850	18x13	480	B+	2.2	S95シーガルを所持	精密射撃章x10 鉛板x30 超剛性メタルx5 モノリスＮＳＩx2	500

●S90アイビス系統(タイプB)
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
S90アイビス	260	実弾(3点射)	560	30x11	600	A	2.2	ヴォルペ・スコーピオを所持	鉛板x10 ウーツ重鋼x5 ハニカム回路x20	150
S90アイビスC	290	実弾(3点射)	520	42x8	600	S-	2.4	S90アイビスを所持	隕鉄塊x20 破損ＩＣx15 ロゼンジ重回路x10	250
S95シーガル	320	実弾	620	28x11	480	A+	2.0	S90アイビスCを所持	精密射撃章x5 チタン鋼x15 複層重合金属x1 高磁性アグミナx5	350
S100アルバトロス	340	実弾(3点射)	810	18x13	480	A+	2.2	S95シーガルを所持	精密射撃章x10 鉛板x30 超剛性メタルx5 モノリスＮＳＩx2	500

●電磁加速砲系統
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
電磁加速砲・壱式	280	ニュード50%／実弾50%	1240	13x13	270	A-	2.6	累計バトル時間31000秒。または強襲兵装の累計スコア3000pt以上	ウーツ重鋼x3 ニュード卵x20 銀片x20	50
電磁加速砲・弐式	290	ニュード50%／実弾50%(3点射)	1120	18x11	300	A	2.8	電磁加速砲・壱式を所持	隕鉄塊x20 ニュード素子x10 メタモチップx3	150
電磁加速砲・特式	310	ニュード50%／実弾50%	840	25x15	360	A	2.8	電磁加速砲・弐式を所持	チタン鋼x25 ニュード群体x5 ソノチップx10	250
電磁加速砲・紫電	320	ニュード50%／実弾50%(単射)	1650	11x13	240	A+	3.2	電磁加速砲・特式を所持	施設破壊章x3 ウーツ重鋼x10 ニュード融素子x2 黄金片x25	350
電磁加速砲・速式	340	ニュード50%／実弾50%	710	16x15	540	A-	1.9	電磁加速砲・紫電を所持	施設破壊章x5 ニュード集積体x5 メタモチップx3 モノリスＮＳＩx2	500

●VOLT系統
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
VOLT－01	190	ニュード(3点射)	580	39x8	480	B+	2.0	累計バトル時間15000秒以上。または強襲兵装の累計スコア2000pt以上	ウーツ重鋼x2 ニュード卵x20	50
VOLT－02	180	ニュード(3点射)	540	51x7	480	A	2.2	VOLT-01を所持	チタン鋼x5 ニュード胚x15 ニュード素子x10	150
VOLT－R	210	ニュード	510	48x9	480	A-	2.4	VOLT-02を所持	隕鉄塊x5 複層重合金属x1 ニュード群体x5	250
VOLT－X	230	ニュード(3点射)	760	30x8	420	B+	2.4	VOLT-Rを所持	クリティカルキル/銀x3 鉛板x25 ニュード集積体x2 ニュード融素子x1	350
VOLT－RX	250	ニュード	490	38x11	600	A	1.6	VOLT-Xを所持	クリティカルキル/銀x5 超剛性メタルx3 ニュード融素子x2	500

●STAR系統
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
STAR－05	250	実弾(単射)	810	22x11	480	C	2.0	ヴォルペ突撃銃Cを所持	隕鉄塊x10 超剛性メタルx2 銅片x20	50
STAR－10	240	実弾(単射)	1080	18x10	300	A-	1.9	STAR-05を所持	複層重合金属x1 ソノチップx10	150
STAR－10C	290	実弾(単射)	750	34x7	480	C+	2.4	STAR-10を所持	鉛板x20 チタン鋼x10 カロラチップx2	250
STAR－20	270	実弾(単射)	1200	14x11	300	B	2.0	STAR-10Cを所持	精密射撃章x5 複層重合金属x2 銀片x20 メタモチップx3	350
STAR－30S	300	実弾(単射)	870	16x13	480	B+	1.6	STAR-20を所持	精密射撃章x10 ウーツ重鋼x10 黄金片x10 カロラチップx3	500

●SSG系統
○名称	重量	属性	威力	総弾数	連射速度	拡散率	リロード時間	条件	素材・勲章	GP
SSG7－ゲイル	170	実弾(単射)	260x7	6x8	240	小	2.0	累計戦闘時間71000秒以上。	鉛板x20 黄金片x15 ソノチップx2	50
SSG9－ストーム	190	実弾	200x3	14x24	600	極小	1.2	SSG7－ゲイルを所持	隕鉄塊x25 超剛性メタルx2 銀片x25	150
SSG7－ガスト	210	実弾(単射)	300x10	2x25	240	中	1.2	SSG9－ストームを所持	チタン鋼x15 複層重合金属x2 銅片x25	250
SSG9－トルネード	200	実弾	150x5	16x16	600	大	2.0	SSG7－ガストを所持	撃破章x15 ウーツ重鋼x15 メタモチップx2 カロラチップx2	350

●ウェーブショット系統
○名称	重量	属性	威力	総弾数	連射速度	充填時間	リロード時間	条件	素材・勲章	GP
ウェーブショット	330	ニュード(チャージ)	780/1170/1560	17x13	300	1.5	2.6	?	ニュード卵x20 ニュード胚x20 破損ＩＣx15	150
ウェーブショットC	350	ニュード(チャージ)	720/900/1080	15x13	300	1.0	2.6	ウェーブショットを所持	ニュード群体x10 ニュード結晶体x1 ペンタクル回路x20	250
ウェーブショットII	370	ニュード(チャージ)(3点射)	560/840/1120	24x12	420	2.0	2.2	ウェーブショットCを所持	強襲章x10 ニュード素子x25 高磁性アグミナx5 誘電ヘリックスx2	350

●UK56速射機銃系統
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
UK56速射機銃	310	実弾	320	75x12	900	C	2.4	?	チタン鋼x15 銅片x15 ソノチップx3	50
UK56速射機銃・改	290	実弾	300	85x11	900	B-	2.0	UK56速射機銃を所持	隕鉄塊x15 銀片x5 メタモチップx5	150
UK57速射機銃	320	実弾	270	124x9	1080	D+	3.0	UK56速射機銃・改を所持	チタン鋼x20 複層重合金属x2 ルミノチップx1	250
UK57速射機銃・弐	340	実弾	350	70x12	900	D+	2.6	UK57速射機銃を所持	戦闘勝利章x5 複層重合金属x3 真鋼テクタイトx2 黄金片x25	350

◆副武器
●手榴弾系統
○名称	重量	属性	威力	総弾数	爆発半径	起爆時間	リロード時間	条件	素材・勲章	GP
38型手榴弾	80	爆発	8000	1x5	20	2.5	0.8	初期装備	なし	0
40型軽量手榴弾	90	爆発	7200	1x7	18	2.5	0.8	38型手榴弾を所持	ニュード卵x12 銅片x5	10
41型強化手榴弾	140	爆発	11000	1x3	25	3.5	1.4	40型軽量手榴弾を所持	撃破章x3 ニュード集積体x2 黄金片x15	150
41型手榴弾・改	120	爆発	13500	1x3	14	1.5	1.5	41型強化手榴弾を所持	撃破章x10 ニュード胚x10 ニュード素子x10 カロラチップx2	250

●グレネードランチャー系統
○名称	重量	属性	威力	総弾数	爆発半径	連射速度	リロード時間	条件	素材・勲章	GP
